Id,Op-Name,Op-Count,Byte-Count,Worker-Count,Avg-ResTime,Avg-ProcTime,60%-ResTime,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime,100%-ResTime,Throughput,Bandwidth,Succ-Ratio,Config-Info
w39-s12-cleanup-1,cleanup-delete,24000,0,16,50.77,50.77,60,70,90,100,110,170,317.63,0,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) deleteContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-1200)
w39-s13-dispose-1,dispose-delete,0,0,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w40-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w40-s2-prepare-1,prepare-write,6000,48000000000,16,2009.46,417.57,2110,2640,3090,3480,4420,6990,7.96,63714053.35,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(8)MB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(8)MB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(8)MB createContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(8)MB
w40-s3-main-1worker-1,read,144,1152000000,1,277.49,14.1,260,280,340,470,490,490,2.4,19227559.5,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w40-s3-main-1worker-2,write,72,576000000,1,276.96,25.17,290,290,290,300,320,330,1.2,9613779.75,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(301-400) sizes=c(8)MB
w40-s4-main-4workers-1,read,335,2680000000,4,500.33,50.14,510,620,760,840,1060,1270,5.61,44901804.81,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w40-s4-main-4workers-2,write,150,1200000000,4,474.15,80.77,470,590,690,830,1000,1170,2.51,20101555.68,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(401-500) sizes=c(8)MB
w40-s5-main-8workers-1,read,378,3024000000,8,855.95,103.15,890,1090,1270,1430,1760,2690,6.35,50766241.58,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w40-s5-main-8workers-2,write,157,1256000000,8,974.11,160.92,1020,1260,1460,1780,2110,2820,2.64,21082685.62,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(501-600) sizes=c(8)MB
w40-s6-main-16workers-1,read,371,2968000000,16,1545.96,179.87,1580,1930,2100,2410,2890,3510,6.3,50417755,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w40-s6-main-16workers-2,write,177,1416000000,16,2083.38,396.49,2120,2520,3050,3480,4370,4630,3.01,24051891.4,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(601-700) sizes=c(8)MB
w40-s7-main-32workers-1,read,320,2560000000,32,3676.73,487.59,4150,4670,5330,5940,6880,7540,5.51,44115215.46,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w40-s7-main-32workers-2,write,136,1088000000,32,5013.88,1129.05,5780,6360,6750,7040,7790,8900,2.34,18753478.73,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(701-800) sizes=c(8)MB
w40-s8-main-64workers-1,read,356,2848000000,64,5509.89,1327.75,5500,7450,9180,10600,12420,14140,6.33,50670421.3,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w40-s8-main-64workers-2,write,152,1216000000,64,10669.23,3725.83,10480,12530,14740,15900,19930,25040,2.73,21807408.45,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(801-900) sizes=c(8)MB
w40-s9-main-128workers-1,read,377,3016000000,128,8248.82,2684.42,8550,10620,11890,12560,14240,19430,7.39,59084269.93,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w40-s9-main-128workers-2,write,122,976000000,128,27446.58,9151.92,28910,30360,32910,36590,38870,38890,2.42,19332201.85,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(901-1000) sizes=c(8)MB
w40-s10-main-256workers-1,read,405,3240000000,256,17831.6,5877.14,18250,20960,23520,25500,28590,35770,10.91,87262217.99,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w40-s10-main-256workers-2,write,0,0,256,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,30% cprefix=s3testqwer containers=u(1-20) objects=u(1001-1100) sizes=c(8)MB
w40-s11-main-512workers-1,read,342,2736000000,512,30788.11,7537.56,35050,38850,40960,41580,45490,47030,11.27,90146635.21,92.68%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w40-s11-main-512workers-2,write,0,0,512,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,30% cprefix=s3testqwer containers=u(1-20) objects=u(1101-1200) sizes=c(8)MB
w40-s12-cleanup-1,cleanup-delete,24000,0,16,49.31,49.31,50,70,80,90,110,170,327.47,0,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) cprefix=s3testqwer containers=r(1-20) objects=r(1-1200) deleteContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-1200)
w40-s13-dispose-1,dispose-delete,0,0,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w41-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w42-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w43-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w43-s2-prepare-1,prepare-write,6000,96000000000,16,3994.9,551.3,4220,5010,5650,6140,7020,11050,4.01,64081302.01,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(16)MB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(16)MB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(16)MB createContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(16)MB
w43-s3-main-1worker-1,read,76,1216000000,1,547.78,19.16,550,640,680,730,770,830,1.27,20335808.42,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w43-s3-main-1worker-2,write,35,560000000,1,518.83,28.8,520,540,550,570,570,570,0.59,9365174.93,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(301-400) sizes=c(16)MB
w43-s4-main-4workers-1,read,168,2688000000,4,960.52,64.15,970,1130,1340,1400,1620,1850,2.82,45093794.44,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w43-s4-main-4workers-2,write,75,1200000000,4,1028.16,149.72,1070,1330,1480,1540,1700,1710,1.26,20124951.6,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(401-500) sizes=c(16)MB
w43-s5-main-8workers-1,read,185,2960000000,8,1529.94,151.78,1630,1860,2040,2150,2490,2800,3.14,50194486.8,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w43-s5-main-8workers-2,write,85,1360000000,8,2215.82,343.93,2320,2960,3420,3640,3860,4190,1.44,23100773.55,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(501-600) sizes=c(16)MB
w43-s6-main-16workers-1,read,202,3232000000,16,2845.61,404.6,2930,3530,4130,4520,5350,5940,3.46,55351643.81,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w43-s6-main-16workers-2,write,77,1232000000,16,4665.13,641.25,4910,5660,6170,6420,7710,9140,1.32,21104489.61,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(601-700) sizes=c(16)MB
w43-s7-main-32workers-1,read,203,3248000000,32,4936.03,738.48,5100,6190,6950,8000,10810,12700,3.66,58517694.82,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w43-s7-main-32workers-2,write,73,1168000000,32,10748.36,2993.15,10820,13480,14690,16890,18740,21560,1.29,20691454.53,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(701-800) sizes=c(16)MB
w43-s8-main-64workers-1,read,173,2768000000,64,8584.27,1644.89,8990,11590,14290,14980,16620,17970,3.36,53831411.32,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w43-s8-main-64workers-2,write,78,1248000000,64,22926.37,4360.55,22790,24080,26420,27980,33340,37350,1.54,24592906.37,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(801-900) sizes=c(16)MB
w43-s9-main-128workers-1,read,222,3552000000,128,16505.52,3105.48,17470,20340,21330,21860,22580,23260,6.29,100662761.39,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w43-s9-main-128workers-2,write,0,0,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,30% cprefix=s3testqwer containers=u(1-20) objects=u(901-1000) sizes=c(16)MB
w43-s10-main-256workers-1,read,189,3024000000,256,36190.92,5049.7,38870,41840,43590,44380,45950,46210,5.03,80411950.65,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w43-s10-main-256workers-2,write,0,0,256,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,30% cprefix=s3testqwer containers=u(1-20) objects=u(1001-1100) sizes=c(16)MB
w43-s11-main-512workers-1,read,19,304000000,512,52763.79,2691.42,54020,57280,58000,58920,58920,59830,0.36,5807497.93,29.69%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w43-s11-main-512workers-2,write,0,0,512,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,30% cprefix=s3testqwer containers=u(1-20) objects=u(1101-1200) sizes=c(16)MB
w44-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) cprefix=s3testqwer containers=r(1-20) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-20)
w44-s2-prepare-1,prepare-write,6000,192000000000,16,8122.1,670.23,8460,9710,10750,11650,12620,15610,1.97,63051628.26,100%,100% cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(32)MB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(32)MB cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(32)MB createContainer=false cprefix=s3testqwer containers=r(1-20) objects=r(1-300) sizes=c(32)MB
w44-s3-main-1worker-1,read,37,1184000000,1,978.16,29.49,970,1050,1150,1180,1300,1410,0.62,19901501.02,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w44-s3-main-1worker-2,write,22,704000000,1,1058.86,30.18,1050,1080,1150,1180,1200,1250,0.37,11833324.93,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(301-400) sizes=c(32)MB
w44-s4-main-4workers-1,read,96,3072000000,4,1620.78,91.75,1600,1880,2090,2180,2490,2620,1.62,51959983.94,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w44-s4-main-4workers-2,write,36,1152000000,4,2243.92,114.92,2360,2550,2710,2790,3100,3180,0.61,19550122.26,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(401-500) sizes=c(32)MB
w44-s5-main-8workers-1,read,92,2944000000,8,3233.33,191.32,3300,4290,4530,4890,5440,6610,1.59,50895259.14,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w44-s5-main-8workers-2,write,30,960000000,8,5483.7,418.8,5850,6580,6910,7110,7820,7980,0.52,16664985.98,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(501-600) sizes=c(32)MB
w44-s6-main-16workers-1,read,97,3104000000,16,5211.41,421.95,5190,6230,7760,8690,9460,10130,1.73,55286766.64,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w44-s6-main-16workers-2,write,35,1120000000,16,11340.4,1252.26,11740,12830,13660,15540,16140,16190,0.62,19693587.43,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(601-700) sizes=c(32)MB
w44-s7-main-32workers-1,read,99,3168000000,32,8745.71,930.92,9030,10200,11120,11990,13450,14170,1.91,60988217.05,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w44-s7-main-32workers-2,write,33,1056000000,32,24262.79,2385.48,24930,26080,26720,27820,30570,30920,0.64,20494854.98,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(701-800) sizes=c(32)MB
w44-s8-main-64workers-1,read,100,3200000000,64,15493.76,1578.06,16570,18240,19150,19420,21680,23310,2.75,87892712.37,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w44-s8-main-64workers-2,write,12,384000000,64,59275.08,2806.42,59230,59560,59760,59900,59900,59970,0.2,6478606.72,100%,30% cprefix=s3testqwer containers=u(1-20) objects=u(801-900) sizes=c(32)MB
w44-s9-main-128workers-1,read,98,3136000000,128,35092.71,1816.8,36500,37980,39190,40910,43110,43320,2.55,81583899.5,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w44-s9-main-128workers-2,write,0,0,128,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,30% cprefix=s3testqwer containers=u(1-20) objects=u(901-1000) sizes=c(32)MB
w44-s10-main-256workers-1,read,9,288000000,256,52182.67,1186.33,56310,57650,58150,58150,58150,59260,0.18,5715523.47,100%,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w44-s10-main-256workers-2,write,0,0,256,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,30% cprefix=s3testqwer containers=u(1-20) objects=u(1001-1100) sizes=c(32)MB
w44-s11-main-512workers-1,read,0,0,223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,70% cprefix=s3testqwer containers=u(1-20) objects=u(1-300)
w44-s11-main-512workers-2,write,0,0,223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,30% cprefix=s3testqwer containers=u(1-20) objects=u(1101-1200) sizes=c(32)MB
w45-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-10) cprefix=s3testqwer containers=r(1-10) cprefix=s3testqwer containers=r(1-10) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-10)
w45-s2-prepare-1,prepare-write,5000,20000000,16,79.49,79.49,90,100,110,120,150,200,201.71,806846.98,100%,100% cprefix=s3testqwer containers=r(1-10) objects=r(1-500) sizes=c(4)KB cprefix=s3testqwer containers=r(1-10) objects=r(1-500) sizes=c(4)KB cprefix=s3testqwer containers=r(1-10) objects=r(1-500) sizes=c(4)KB createContainer=false cprefix=s3testqwer containers=r(1-10) objects=r(1-500) sizes=c(4)KB
w45-s3-main-1worker-1,read,9336,37344000,1,6.97,6.46,10,10,10,20,20,30,77.81,311238.9,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w45-s3-main-1worker-2,write,4096,16384000,1,13.3,13.3,20,20,20,20,30,40,34.14,136550.4,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(501-600) sizes=c(4)KB
w45-s4-main-4workers-1,read,19062,76248000,4,14.18,13.57,20,20,20,30,30,50,158.86,635452.7,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w45-s4-main-4workers-2,write,8298,33192000,4,25.17,25.17,30,40,40,40,50,60,69.16,276623.06,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(601-700) sizes=c(4)KB
w45-s5-main-8workers-1,read,19210,76840000,8,29.14,28.25,40,40,40,50,60,90,160.12,640482.26,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-300)
w45-s5-main-8workers-2,write,8395,33580000,8,47.56,47.56,50,60,70,70,80,110,69.97,279897.88,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(701-800) sizes=c(4)KB
w45-s6-main-16workers-1,read,20463,81852000,16,55.23,53.89,60,70,80,80,100,140,170.62,682479.83,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w45-s6-main-16workers-2,write,8912,35648000,16,88.41,88.4,100,110,110,120,140,200,74.31,297230.81,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(801-900) sizes=c(4)KB
w45-s7-main-32workers-1,read,22036,88144000,32,103.4,101.3,110,130,140,150,170,320,183.83,735320.97,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w45-s7-main-32workers-2,write,9492,37968000,32,163.96,163.96,170,190,210,220,250,340,79.18,316737.3,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(901-1000) sizes=c(4)KB
w45-s8-main-64workers-1,read,24439,97756000,64,150.57,149.43,170,230,290,340,430,600,204.26,817037.89,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w45-s8-main-64workers-2,write,10484,41936000,64,379.3,379.3,420,540,630,710,850,1170,87.62,350495.79,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(1001-1100) sizes=c(4)KB
w45-s9-main-128workers-1,read,24721,98884000,128,284.2,283.2,270,460,630,780,1070,1640,207.31,829247.01,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w45-s9-main-128workers-2,write,10363,41452000,128,794.78,794.78,860,1200,1480,1710,2140,3170,86.91,347624.86,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(1100-1200) sizes=c(4)KB
w45-s10-main-256workers-1,read,24028,96112000,256,540.78,539.72,440,1010,1380,1710,2420,3280,203.5,814011.06,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w45-s10-main-256workers-2,write,10119,40476000,256,1702.66,1702.66,1880,2810,3380,3860,4640,6320,85.71,342857.92,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(1201-1300) sizes=c(4)KB
w45-s11-main-512workers-1,read,22255,89020000,512,1181.68,1180.81,1200,1950,2580,3150,4580,6520,191.08,764336.54,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w45-s11-main-512workers-2,write,9333,37332000,512,3571.31,3571.31,3920,5260,6340,7240,9020,12380,80.15,320609.45,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(1301-1400) sizes=c(4)KB
w45-s12-cleanup-1,cleanup-delete,14000,0,16,73.38,73.38,80,90,100,110,130,180,218.13,0,100%,100% cprefix=s3testqwer containers=r(1-10) objects=r(1-1400) cprefix=s3testqwer containers=r(1-10) objects=r(1-1400) cprefix=s3testqwer containers=r(1-10) objects=r(1-1400) deleteContainer=false cprefix=s3testqwer containers=r(1-10) objects=r(1-1400)
w45-s13-dispose-1,dispose-delete,0,0,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-10) cprefix=s3testqwer containers=r(1-10) cprefix=s3testqwer containers=r(1-10) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-10)
w46-s1-init-1,init-write,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,N/A,100% cprefix=s3testqwer containers=r(1-10) cprefix=s3testqwer containers=r(1-10) cprefix=s3testqwer containers=r(1-10) objects=r(0-0) sizes=c(0)B cprefix=s3testqwer containers=r(1-10)
w46-s2-prepare-1,prepare-write,5000,320000000,16,93.05,90.87,100,110,120,130,150,350,171.88,11000465.82,100%,100% cprefix=s3testqwer containers=r(1-10) objects=r(1-500) sizes=c(64)KB cprefix=s3testqwer containers=r(1-10) objects=r(1-500) sizes=c(64)KB cprefix=s3testqwer containers=r(1-10) objects=r(1-500) sizes=c(64)KB createContainer=false cprefix=s3testqwer containers=r(1-10) objects=r(1-500) sizes=c(64)KB
w46-s3-main-1worker-1,read,7497,479808000,1,9.04,6.96,10,10,20,20,20,40,62.48,3998666.58,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w46-s3-main-1worker-2,write,3299,211136000,1,15.75,13.73,20,20,20,20,30,30,27.49,1759583.97,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(501-600) sizes=c(64)KB
w46-s4-main-4workers-1,read,15835,1013440000,4,17.56,14.97,20,30,30,30,40,260,131.98,8446676.93,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w46-s4-main-4workers-2,write,6798,435072000,4,29.59,27.44,40,40,40,50,50,80,56.66,3626166.22,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(601-700) sizes=c(64)KB
w46-s5-main-8workers-1,read,16257,1040448000,8,34.42,30.88,40,50,50,60,60,270,135.52,8672990.75,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-300)
w46-s5-main-8workers-2,write,6990,447360000,8,57.15,54.94,60,70,80,80,90,280,58.27,3729115.5,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(701-800) sizes=c(64)KB
w46-s6-main-16workers-1,read,16832,1077248000,16,66.17,61.47,70,80,90,100,120,450,140.36,8982962.11,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w46-s6-main-16workers-2,write,7244,463616000,16,111.01,108.72,120,130,140,150,170,280,60.41,3865995.23,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(801-900) sizes=c(64)KB
w46-s7-main-32workers-1,read,18181,1163584000,32,120.92,115.23,130,160,170,190,230,420,151.71,9709131.23,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w46-s7-main-32workers-2,write,7787,498368000,32,210.05,207.68,220,250,280,300,350,500,64.98,4158435.08,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(901-1000) sizes=c(64)KB
w46-s8-main-64workers-1,read,19606,1254784000,64,198.3,194.4,230,300,360,410,500,790,163.98,10494651.45,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w46-s8-main-64workers-2,write,8538,546432000,64,440.76,438.38,490,620,720,800,950,1380,71.41,4570291.04,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(1001-1100) sizes=c(64)KB
w46-s9-main-128workers-1,read,19132,1224448000,128,380.63,376.7,440,590,710,820,1030,1430,160.58,10277054.1,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w46-s9-main-128workers-2,write,8251,528064000,128,965.66,963.21,1100,1390,1610,1790,2140,3230,69.25,4431851.53,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(1100-1200) sizes=c(64)KB
w46-s10-main-256workers-1,read,19219,1230016000,256,732.46,728.41,700,1360,1750,2060,2770,3890,163.13,10440353.86,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w46-s10-main-256workers-2,write,8058,515712000,256,1995.94,1993.47,2250,3250,4020,4570,5620,7220,68.39,4377274.41,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(1201-1300) sizes=c(64)KB
w46-s11-main-512workers-1,read,17610,1127040000,512,1545.59,1542.17,1620,2570,3280,4020,5490,7700,151.74,9711623.41,100%,70% cprefix=s3testqwer containers=u(1-10) objects=u(1-500)
w46-s11-main-512workers-2,write,7466,477824000,512,4315.91,4313.27,4770,6510,7870,8950,11240,15020,64.3,4115171.61,100%,30% cprefix=s3testqwer containers=u(1-10) objects=u(1301-1400) sizes=c(64)KB
w46-s12-cleanup-1,cleanup-delete,14000,0,16,76.05,76.05,80,90,100,110,130,200,210.39,0,100%,100% cprefix=s3testqwer containers=r(1-10) objects=r(1-1400) cprefix=s3testqwer containers=r(1-10) objects=r(1-1400) cprefix=s3testqwer containers=r(1-10) objects=r(1-1400) deleteContainer=false cprefix=s3testqwer containers=r(1-10) objects=r(1-1400)
